"Overall Rank (1=Best)","City","State","Overall Score","Running Access Rank","Running Quality Rank","Foot Care Rank","Affordability Rank","Community Rank","Safety Rank","Climate Rank"
"1","San Francisco","CA","57.96","13","1","45","59","4","100","8"
"2","New York","NY","56.97","5","15","61","191","1","52","108"
"3","San Diego","CA","55.53","6","39","126","72","2","94","4"
"4","Portland","OR","55.23","1","11","43","157","12","154","15"
"5","Oakland","CA","53.47","7","5","87","138","49","83","8"
"6","Los Angeles","CA","49.34","18","6","142","121","9","126","37"
"7","Seattle","WA","48.88","21","16","62","58","11","133","18"
"8","Boston","MA","47.69","30","12","26","136","7","49","69"
"9","Salt Lake City","UT","47.16","8","19","3","66","47","176","150"
"10","San Jose","CA","47.07","23","14","174","40","54","103","8"
"11","Glendale","CA","46.78","70","2","30","53","193","35","23"
"12","Washington","DC","46.67","22","34","50","124","3","123","62"
"13","Colorado Springs","CO","46.23","2","44","134","106","19","107","121"
"14","Santa Rosa","CA","45.66","55","26","53","161","125","20","1"
"15","Richmond","VA","45.62","17","29","22","110","34","79","77"
"16","Fremont","CA","45.48","47","13","130","6","130","72","8"
"17","Pittsburgh","PA","45.30","19","74","4","141","32","73","92"
"18","Boise","ID","45.18","20","33","71","89","86","14","66"
"19","Philadelphia","PA","44.60","32","9","42","174","17","108","97"
"20","Salinas","CA","44.42","84","7","145","139","160","61","3"
"21","Las Vegas","NV","44.41","12","40","54","54","35","82","176"
"22","Irvine","CA","43.74","31","41","169","30","105","10","23"
"23","Phoenix","AZ","43.70","4","10","114","84","28","184","193"
"24","Escondido","CA","43.56","37","24","150","129","169","101","4"
"25","Chicago","IL","43.31","9","120","76","155","5","96","152"
"26","Oxnard","CA","43.23","136","8","160","70","162","30","14"
"27","Anaheim","CA","42.76","118","4","110","44","144","98","23"
"28","Pasadena","CA","42.56","94","3","58","60","100","185","23"
"29","Cincinnati","OH","42.54","10","122","11","140","40","111","143"
"30","Naperville","IL","42.28","81","66","48","22","119","1","152"
"31","San Antonio","TX","42.14","14","46","153","164","13","169","138"
"32","Virginia Beach","VA","42.05","62","31","148","57","63","16","41"
"33","Honolulu","HI","41.61","44","45","64","135","69","189","2"
"34","Scottsdale","AZ","41.47","28","21","12","27","129","63","193"
"35","Tucson","AZ","41.34","11","30","78","179","39","192","116"
"36","Atlanta","GA","41.33","33","53","19","56","10","187","81"
"37","Miami","FL","41.10","38","55","2","154","33","178","85"
"38","Minneapolis","MN","40.95","26","61","16","163","31","116","133"
"39","Austin","TX","40.80","16","64","155","85","29","160","111"
"40","Buffalo","NY","40.52","24","52","35","188","67","92","75"
"41","Albuquerque","NM","40.08","3","72","79","148","59","198","124"
"42","Anchorage","AK","40.00","15","125","143","113","30","155","58"
"43","Long Beach","CA","39.81","97","37","116","76","27","144","22"
"44","Raleigh","NC","39.55","35","70","137","114","48","54","82"
"45","Rochester","NY","39.54","46","73","7","187","46","156","67"
"46","Chula Vista","CA","39.53","113","90","175","21","185","37","4"
"47","El Paso","TX","39.51","29","60","167","95","82","32","130"
"48","Fullerton","CA","39.48","114","35","124","17","193","44","23"
"49","Santa Clarita","CA","39.43","144","49","200","31","138","4","23"
"50","Orange","CA","39.38","149","25","14","16","162","68","23"
"51","Jersey City","NJ","39.25","96","20","101","37","106","40","125"
"52","Madison","WI","39.19","42","97","57","149","18","71","112"
"53","Plano","TX","39.11","75","38","88","26","121","15","161"
"54","Eugene","OR","39.04","49","57","80","122","72","105","46"
"55","Alexandria","VA","39.00","59","43","51","142","96","74","62"
"56","St. Louis","MO","38.95","34","78","1","162","37","195","184"
"57","Bellevue","WA","38.92","45","129","36","88","174","57","18"
"58","McKinney","TX","38.81","165","22","154","23","125","3","161"
"59","Cleveland","OH","38.70","56","91","5","196","15","162","114"
"60","Sunnyvale","CA","38.62","145","82","196","7","167","33","8"
"61","Durham","NC","38.42","41","116","72","87","43","75","70"
"62","Providence","RI","38.38","92","75","13","102","83","55","100"
"63","Houston","TX","38.20","27","84","133","145","6","172","191"
"64","Huntington Beach","CA","38.07","91","63","152","19","137","87","23"
"65","Omaha","NE","38.05","54","79","65","99","50","58","149"
"66","Des Moines","IA","38.04","78","47","28","125","85","77","107"
"67","Torrance","CA","38.02","134","124","9","29","185","51","23"
"68","Hayward","CA","38.01","93","42","189","74","193","161","8"
"69","Denver","CO","37.99","25","109","113","103","14","119","187"
"70","Syracuse","NY","37.64","116","36","21","193","77","69","76"
"71","Spokane","WA","37.46","40","102","52","117","76","158","50"
"72","Charlotte","NC","37.37","72","123","132","92","8","117","83"
"73","Akron","OH","37.26","68","51","34","180","101","84","94"
"74","Charleston","SC","37.21","123","103","17","46","68","157","21"
"75","Corona","CA","37.21","76","48","178","52","185","66","51"
"76","Dallas","TX","37.18","43","81","100","143","16","173","161"
"77","St. Paul","MN","37.13","39","94","55","128","74","99","133"
"78","Fort Collins","CO","37.10","36","93","89","112","87","64","175"
"79","Waco","TX","37.07","154","18","98","79","115","102","119"
"80","Baltimore","MD","36.85","69","98","18","178","25","138","106"
"81","Grand Rapids","MI","36.70","60","95","15","153","70","115","113"
"82","Huntsville","AL","36.62","61","71","121","48","41","135","136"
"83","Oceanside","CA","36.53","135","141","168","39","151","70","4"
"84","Mesa","AZ","36.51","71","23","156","33","118","62","193"
"85","Louisville","KY","36.36","63","117","40","105","23","147","109"
"86","Dayton","OH","36.34","53","121","10","192","52","125","103"
"87","Overland Park","KS","36.32","126","69","44","80","124","25","157"
"88","Tacoma","WA","36.26","89","142","33","98","98","120","18"
"89","Milwaukee","WI","36.25","51","83","67","194","38","128","96"
"90","St. Petersburg","FL","36.22","74","76","85","108","36","165","73"
"91","Henderson","NV","36.19","65","92","123","45","140","21","176"
"92","Roseville","CA","36.17","88","154","32","73","172","34","47"
"93","Tampa","FL","36.06","86","99","23","64","44","175","73"
"94","Yonkers","NY","35.86","107","110","84","115","185","6","125"
"95","Reno","NV","35.79","48","108","86","77","119","56","174"
"96","Miramar","FL","35.69","183","17","184","4","172","9","85"
"97","Pomona","CA","35.65","163","77","68","49","180","95","23"
"98","Lincoln","NE","35.45","52","96","117","186","109","43","122"
"99","Sacramento","CA","35.26","50","151","56","147","42","166","48"
"100","Fort Worth","TX","35.14","101","80","147","67","22","140","161"
"101","Worcester","MA","34.58","105","146","60","86","58","31","135"
"102","Indianapolis","IN","34.54","77","127","74","120","20","142","128"
"103","Orlando","FL","34.48","58","139","20","116","26","190","117"
"104","Tulsa","OK","34.40","102","27","93","107","65","182","186"
"105","Savannah","GA","34.31","153","85","25","175","101","106","64"
"106","Chattanooga","TN","34.29","84","104","37","130","53","146","156"
"107","Palmdale","CA","34.26","166","32","192","42","185","145","23"
"108","Frisco","TX","34.24","138","174","59","1","113","5","161"
"109","Vancouver","WA","34.23","87","179","97","100","99","109","15"
"110","Warren","MI","34.19","180","133","8","35","185","27","140"
"111","Lexington","KY","33.98","119","136","63","78","55","85","79"
"112","Jacksonville","FL","33.96","73","134","112","119","21","153","114"
"113","Murfreesboro","TN","33.89","195","54","90","28","169","29","131"
"114","Tallahassee","FL","33.66","67","115","115","156","61","91","182"
"115","Greensboro","NC","33.56","90","86","131","158","73","171","72"
"116","Fort Lauderdale","FL","33.56","100","59","27","50","95","197","85"
"117","Arlington","TX","33.53","131","65","125","81","141","88","161"
"118","Carrollton","TX","33.50","156","112","140","9","81","12","161"
"119","Olathe","KS","33.49","106","87","180","5","131","17","157"
"120","Sioux Falls","SD","33.49","127","128","75","118","112","42","110"
"121","Newport News","VA","33.37","172","56","109","167","122","129","41"
"122","Springfield","MA","33.36","110","118","77","195","70","80","61"
"123","Birmingham","AL","33.21","98","89","6","197","61","191","181"
"124","Fort Wayne","IN","33.17","137","130","83","126","65","76","99"
"125","Bridgeport","CT","33.16","151","143","70","137","180","24","65"
"126","Salem","OR","33.07","120","164","95","111","93","150","17"
"127","Santa Ana","CA","33.03","139","106","151","43","180","137","23"
"128","Lancaster","CA","33.02","198","62","166","55","162","118","23"
